Timestamp,Motion_WorldPositionZ,Motion_WorldPositionY,Motion_WorldPositionX,TotalLapDistance,Steer,Speed,LapDistance,Gear,EngineTemp,EngineRPM,Brake,DriverStatus,LapNumber,LapValidity,PitStatus,Sector,streamId,eventId
1687180460955545700,,,,2091.3251953125,,,2091.3251953125,,,,,Flying_lap,1,Invalid,None,1,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180461013700700,218.9416961669922,98.20722961425781,-25.482023239135742,2095.084228515625,-1,223,2095.084228515625,6,90,10251,0,Flying_lap,1,Invalid,None,1,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180461057554500,216.65463256835938,98.32571411132812,-24.000829696655273,2097.9296875,-1,224,2097.9296875,6,90,10308,0,Flying_lap,1,Invalid,None,1,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180461115080100,213.62770080566406,98.4919204711914,-22.058395385742188,2101.676025390625,-1,226,2101.676025390625,6,90,10415,0,Flying_lap,1,Invalid,None,1,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180461158640200,211.31356811523438,98.61405944824219,-20.59221076965332,2104.524169921875,-1,227,2104.524169921875,6,90,10554,0,Flying_lap,1,Invalid,None,1,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180461217100400,208.1822509765625,98.74658203125,-18.64349937438965,2108.353759765625,-1,227,2108.353759765625,6,90,10485,0,Flying_lap,1,Invalid,None,1,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180461260774900,205.82574462890625,98.83275604248047,-17.213489532470703,2111.139892578125,0,227,2111.139892578125,6,90,10470,0,Flying_lap,1,Invalid,None,1,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180461319593700,202.62184143066406,98.9737548828125,-15.314051628112793,2114.869140625,0,228,2114.869140625,6,90,10513,0,Flying_lap,1,Invalid,None,1,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180461363230000,200.2202606201172,99.07882690429688,-13.917112350463867,2117.649169921875,0,229,2117.649169921875,6,90,10590,0,Flying_lap,1,Invalid,None,1,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
1687180461421205800,196.99661254882812,99.19732666015625,-12.071184158325195,2121.36328125,0,231,2121.36328125,6,90,10626,0,Flying_lap,1,Invalid,None,1,5a517ca4-efc3-4166-aedb-a5c57e2b9c59,
