Timestamp,Motion_WorldPositionZ,Motion_WorldPositionY,Motion_WorldPositionX,TotalLapDistance,Steer,Speed,LapDistance,Gear,EngineTemp,EngineRPM,Brake,DriverStatus,LapNumber,LapValidity,PitStatus,Sector,SessionId
1687180408469,218.9416961669922,98.2072296142578,-25.48202324,2095.084228515625,-1.0,223,2095.084228515625,6,90,10251,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180408591,216.65463256835935,98.32571411132812,-24.0008297,2097.929688,-1.0,224,2097.929688,6,90,10308,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180408644,213.6277008056641,98.49192047,-22.05839539,2101.676025390625,-1.0,226,2101.676025390625,6,90,10415,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180408699,211.3135681152344,98.6140594482422,-20.59221077,2104.524169921875,-1.0,227,2104.524169921875,6,90,10554,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180408755,208.1822509765625,98.74658203,-18.64349937,2108.353759765625,-1.0,227,2108.353759765625,6,90,10485,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180408798,205.82574462890625,98.83275604248048,-17.21348953,2111.139892578125,0.0,227,2111.139892578125,6,90,10470,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180408857,202.6218414306641,98.97375488,-15.31405163,2114.869141,0.0,228,2114.869141,6,90,10513,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180408900,200.2202606201172,99.07882690429688,-13.91711235,2117.649169921875,0.0,229,2117.649169921875,6,90,10590,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180408957,196.99661254882812,99.19732666015624,-12.07118416,2121.363281,0.0,231,2121.363281,6,90,10626,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180409013,194.53404235839844,99.2860870361328,-10.67852402,2124.189208984375,-1.0,232,2124.189208984375,6,90,10673,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180409068,191.23312377929688,99.41191864013672,-8.829471588,2127.964844,-1.0,234,2127.964844,6,90,10750,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180409124,188.0005798339844,99.53065490722656,-7.038534641,2131.648681640625,-1.0,235,2131.648681640625,6,90,10814,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180409178,184.7174072265625,99.64824676513672,-5.246550083,2135.374267578125,-1.0,237,2135.374267578125,6,90,10878,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180409233,182.17669677734375,99.73819732666016,-3.886215687,2138.239746,0.0,238,2138.239746,6,90,10926,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180409287,178.80674743652344,99.85681915283205,-2.112757206,2142.02002,0.0,239,2142.02002,6,90,10988,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180409341,176.23606872558594,99.9463348388672,-0.779466927,2144.896728515625,0.0,240,2144.896728515625,6,90,11035,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180409396,172.7350616455078,100.06717681884766,1.0102787017822266,2148.805664,0.0,241,2148.805664,6,90,11094,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180409450,170.1178436279297,100.15862274169922,2.3339059352874756,2151.722900390625,0.0,242,2151.722900390625,6,90,11142,0.0,Flying_lap,1,Invalid,,1,session_07501
1687180409504,166.60943603515625,100.27919006347656,4.096425533294678,2155.629150390625,0.0,244,2155.629150390625,6,90,11202,0.0,Flying_lap,1,Invalid,,1,session_07501
